Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Case13 Spectral Count,Case3 Spectral Count,Case9 Spectral Count,Case12 Spectral Count,Case6 Spectral Count,Case8 Spectral Count,Case11 Spectral Count,Case16 Spectral Count,Case19 Spectral Count,Case15 Spectral Count,Case18 Spectral Count,Case7 Spectral Count,Case20 Spectral Count,Case10 Spectral Count,Case14 Spectral Count,Case4 Spectral Count,Case1 Spectral Count,Case17 Spectral Count,Case5 Spectral Count,Case2 Spectral Count,Control15 Spectral Count,Control1 Spectral Count,Control18 Spectral Count,Control3 Spectral Count,Control10 Spectral Count,Control11 Spectral Count,Control13 Spectral Count,Control17 Spectral Count,Control5 Spectral Count,Control16 Spectral Count,Control14 Spectral Count,Control6 Spectral Count,Control9 Spectral Count,Control20 Spectral Count,Control2 Spectral Count,Control7 Spectral Count,Control8 Spectral Count,Control19 Spectral Count,Control4 Spectral Count,Control12 Spectral Count,Case13 Unique Spectral Count,Case3 Unique Spectral Count,Case9 Unique Spectral Count,Case12 Unique Spectral Count,Case6 Unique Spectral Count,Case8 Unique Spectral Count,Case11 Unique Spectral Count,Case16 Unique Spectral Count,Case19 Unique Spectral Count,Case15 Unique Spectral Count,Case18 Unique Spectral Count,Case7 Unique Spectral Count,Case20 Unique Spectral Count,Case10 Unique Spectral Count,Case14 Unique Spectral Count,Case4 Unique Spectral Count,Case1 Unique Spectral Count,Case17 Unique Spectral Count,Case5 Unique Spectral Count,Case2 Unique Spectral Count,Control15 Unique Spectral Count,Control1 Unique Spectral Count,Control18 Unique Spectral Count,Control3 Unique Spectral Count,Control10 Unique Spectral Count,Control11 Unique Spectral Count,Control13 Unique Spectral Count,Control17 Unique Spectral Count,Control5 Unique Spectral Count,Control16 Unique Spectral Count,Control14 Unique Spectral Count,Control6 Unique Spectral Count,Control9 Unique Spectral Count,Control20 Unique Spectral Count,Control2 Unique Spectral Count,Control7 Unique Spectral Count,Control8 Unique Spectral Count,Control19 Unique Spectral Count,Control4 Unique Spectral Count,Control12 Unique Spectral Count,Case13 Total Spectral Count,Case3 Total Spectral Count,Case9 Total Spectral Count,Case12 Total Spectral Count,Case6 Total Spectral Count,Case8 Total Spectral Count,Case11 Total Spectral Count,Case16 Total Spectral Count,Case19 Total Spectral Count,Case15 Total Spectral Count,Case18 Total Spectral Count,Case7 Total Spectral Count,Case20 Total Spectral Count,Case10 Total Spectral Count,Case14 Total Spectral Count,Case4 Total Spectral Count,Case1 Total Spectral Count,Case17 Total Spectral Count,Case5 Total Spectral Count,Case2 Total Spectral Count,Control15 Total Spectral Count,Control1 Total Spectral Count,Control18 Total Spectral Count,Control3 Total Spectral Count,Control10 Total Spectral Count,Control11 Total Spectral Count,Control13 Total Spectral Count,Control17 Total Spectral Count,Control5 Total Spectral Count,Control16 Total Spectral Count,Control14 Total Spectral Count,Control6 Total Spectral Count,Control9 Total Spectral Count,Control20 Total Spectral Count,Control2 Total Spectral Count,Control7 Total Spectral Count,Control8 Total Spectral Count,Control19 Total Spectral Count,Control4 Total Spectral Count,Control12 Total Spectral Count,Case13 Intensity,Case3 Intensity,Case9 Intensity,Case12 Intensity,Case6 Intensity,Case8 Intensity,Case11 Intensity,Case16 Intensity,Case19 Intensity,Case15 Intensity,Case18 Intensity,Case7 Intensity,Case20 Intensity,Case10 Intensity,Case14 Intensity,Case4 Intensity,Case1 Intensity,Case17 Intensity,Case5 Intensity,Case2 Intensity,Control15 Intensity,Control1 Intensity,Control18 Intensity,Control3 Intensity,Control10 Intensity,Control11 Intensity,Control13 Intensity,Control17 Intensity,Control5 Intensity,Control16 Intensity,Control14 Intensity,Control6 Intensity,Control9 Intensity,Control20 Intensity,Control2 Intensity,Control7 Intensity,Control8 Intensity,Control19 Intensity,Control4 Intensity,Control12 Intensity,Case13 MaxLFQ Intensity,Case3 MaxLFQ Intensity,Case9 MaxLFQ Intensity,Case12 MaxLFQ Intensity,Case6 MaxLFQ Intensity,Case8 MaxLFQ Intensity,Case11 MaxLFQ Intensity,Case16 MaxLFQ Intensity,Case19 MaxLFQ Intensity,Case15 MaxLFQ Intensity,Case18 MaxLFQ Intensity,Case7 MaxLFQ Intensity,Case20 MaxLFQ Intensity,Case10 MaxLFQ Intensity,Case14 MaxLFQ Intensity,Case4 MaxLFQ Intensity,Case1 MaxLFQ Intensity,Case17 MaxLFQ Intensity,Case5 MaxLFQ Intensity,Case2 MaxLFQ Intensity,Control15 MaxLFQ Intensity,Control1 MaxLFQ Intensity,Control18 MaxLFQ Intensity,Control3 MaxLFQ Intensity,Control10 MaxLFQ Intensity,Control11 MaxLFQ Intensity,Control13 MaxLFQ Intensity,Control17 MaxLFQ Intensity,Control5 MaxLFQ Intensity,Control16 MaxLFQ Intensity,Control14 MaxLFQ Intensity,Control6 MaxLFQ Intensity,Control9 MaxLFQ Intensity,Control20 MaxLFQ Intensity,Control2 MaxLFQ Intensity,Control7 MaxLFQ Intensity,Control8 MaxLFQ Intensity,Control19 MaxLFQ Intensity,Control4 MaxLFQ Intensity,Control12 MaxLFQ Intensity
sp|P11117|PPAL_HUMAN,P11117,PPAL_HUMAN,ACP2,423,Homo sapiens,1:Experimental evidence at protein level,Lysosomal acid phosphatase,1,0.999,16,1604,1604,1604,19,25,18,45,3,44,39,34,55,74,64,21,32,55,22,33,21,58,62,16,46,20,14,42,54,40,43,10,31,56,45,89,64,60,74,24,29,40,47,36,19,25,18,45,3,44,39,34,55,74,64,21,32,55,22,33,21,58,62,16,46,20,14,42,54,40,43,10,31,56,45,89,64,60,74,24,29,40,47,36,19,25,18,45,3,44,39,34,55,74,64,21,32,55,22,33,21,58,62,16,46,20,14,42,54,40,43,10,31,56,45,89,64,60,74,24,29,40,47,36,1922241.5,1394110.4,1564203.6,5106118,163931.95,3734744.8,3499550.2,1542104.1,6565373.5,7470915,4540597.5,1418673.5,3256681,6555409,2344401.8,1471959.6,1289344.1,2756486.5,4404842,1132009.5,3869532.2,1449714.6,1003248.8,3657991.5,3039454.5,3370765.8,4443140,1389091.6,1052072.5,4379448.5,3278131.2,9472030,4085661.2,5805160.5,5630059,2493848.5,3093820.5,1811783.6,1597579,2270604.2,660670.25,331602.6,366815.1,1067851.4,120795.37,706783.75,689959.9,326823.1,1263466.6,1391764,855633.56,373054.56,707274.94,1250259.5,524157.25,325918.84,425279.2,529606.3,789594.4,249434.36,727699.75,301348.34,230183.08,670059.25,556926.2,678210.3,867377.9,472146.78,232255.89,883207.7,638714.6,1891359.4,827197.8,1109272.4,1004849,583863.2,671946.4,386657.75,325700.12,445675.78
sp|P11142|HSP7C_HUMAN,P11142,HSP7C_HUMAN,HSPA8,646,Homo sapiens,1:Experimental evidence at protein level,Heat shock cognate 71 kDa protein,1,0.999,40,1525,814,1525,32,13,19,60,25,30,19,16,43,48,24,16,23,31,55,37,10,24,39,79,55,21,38,31,32,25,23,27,26,22,44,43,53,27,24,19,33,17,64,258,16,7,10,30,10,15,9,7,24,25,9,10,10,14,29,19,9,12,19,36,33,16,31,16,16,14,10,18,12,7,22,27,29,14,11,11,13,6,33,155,32,13,19,60,25,30,19,16,43,48,24,16,23,31,55,37,10,24,39,79,55,21,38,31,32,25,23,27,26,22,44,43,53,27,24,19,33,17,64,258,3673174,849443.25,1666841.1,6113605,2814285.5,1902548.1,1539702.8,1302641.1,3061499.5,2892506.5,1332536.4,1421566,1919825.9,2568422,4934737.5,3323596.2,594555.2,1085489.9,2493415,1.24E+07,2571857.8,1181235.9,1856469.2,1347224.2,1697273.8,1943903.2,1741221.4,2162068.8,1357598.2,1376320.9,2389235.2,2815151,2568659.2,2342548.5,1566624.1,1965084.8,2716027.2,1260583.4,2686302.5,4.47E+07,626750.2,178244.11,275081.25,763618.8,448367.94,243389.5,236807.05,185074.89,334787.28,341315.4,216940.88,317128.5,282586.9,322932.03,718006.06,433606.9,254395.02,198779.55,305658.47,1565247.9,304586.84,188045.8,286948.38,202633.05,216287.47,228582.8,253225.83,373427.6,186544.69,174296.12,282208.56,329216.94,383145.72,288216.28,215943.19,295572.88,377808.62,222952.98,365582.8,4138244.5
sp|P11169|GTR3_HUMAN,P11169,GTR3_HUMAN,SLC2A3,496,Homo sapiens,1:Experimental evidence at protein level,"Solute carrier family 2, facilitated glucose transporter member 3",1,0.999,4,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144378.94,0,0,0,0,221653.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93739.96,0,0,0,0,99887.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11172|UMPS_HUMAN,P11172,UMPS_HUMAN,UMPS,480,Homo sapiens,1:Experimental evidence at protein level,Uridine 5'-monophosphate synthase,1,0.999,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,71300.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43687.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11177|ODPB_HUMAN,P11177,ODPB_HUMAN,PDHB,359,Homo sapiens,1:Experimental evidence at protein level,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.9992,0.999,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34129.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27373.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11215|ITAM_HUMAN,P11215,ITAM_HUMAN,ITGAM,1152,Homo sapiens,1:Experimental evidence at protein level,Integrin alpha-M,1,0.999,33,109,105,109,0,0,0,1,4,2,0,1,0,1,0,0,0,0,19,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,17,9,0,0,0,62,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,1,0,0,0,0,19,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,248157.22,66623.5,0,40702.64,0,183186.16,0,0,0,0,1401936.8,405735.62,0,0,0,4636328,0,0,0,0,0,0,0,0,0,0,244663.4,0,0,0,0,0,0,0,0,0,0,0,0,0,114549.33,122490.85,0,97204.29,0,0,0,0,0,0,204375.81,87358.39,0,0,0,245460.17,0,0,0,0,0,0,0,0,0,0,74939.266,0,0,0,0,0,0,0,0,0
sp|P11216|PYGB_HUMAN,P11216,PYGB_HUMAN,PYGB,843,Homo sapiens,1:Experimental evidence at protein level,"Glycogen phosphorylase, brain form",1,0.999,24,28,25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142898.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11233|RALA_HUMAN,P11233,RALA_HUMAN,RALA,206,Homo sapiens,1:Experimental evidence at protein level,Ras-related protein Ral-A,1,0.999,7,24,24,83,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,5,0,0,0,4,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,5,0,0,0,4,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,3,0,0,1,4,2,1,3,1,2,3,0,6,3,1,8,0,0,3,11,3,1,1,0,0,2,5,3,6,1,0,0,5,0,2,90868.9,0,0,107639.96,0,0,0,57057.402,53532.562,71220.3,0,0,44234.047,0,84099.22,56637.316,0,0,76402.26,0,196525.52,0,0,0,87219.516,95686.19,28234.15,0,66895.33,0,43497.89,42098.12,48277.56,34707.082,0,0,0,59918.234,0,130662.17,105210.195,0,0,57677.207,0,0,0,66062.44,53809.184,71588.31,0,0,44462.617,0,97372.1,56929.98,0,0,36645.277,0,75792.414,0,0,0,50801.97,51161.367,32690.178,0,34896.04,0,43722.656,42315.656,48527.023,40184.695,0,0,0,69374.77,0,131337.34
sp|P11234|RALB_HUMAN,P11234,RALB_HUMAN,RALB,206,Homo sapiens,1:Experimental evidence at protein level,Ras-related protein Ral-B,1,0.999,9,82,23,82,3,0,1,0,0,3,0,0,1,7,2,1,3,1,5,1,0,6,2,1,6,0,0,3,10,2,1,1,1,0,1,4,4,5,1,0,0,4,0,2,3,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,1,0,3,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,3,0,0,1,7,2,1,3,1,5,1,0,6,2,1,6,0,0,3,10,2,1,1,1,0,1,4,4,5,1,0,0,4,0,2,142460.47,0,55511.02,141409.42,0,85780.16,0,0,148939.78,195102.44,93559.84,56386.47,120348.016,113420.98,412377.7,57508.715,0,63834.953,89473.94,82067.33,245253.9,917352.56,0,84888.26,170184.47,86355.625,57674.965,0,159817.33,0,674343,127298.125,76510.17,134988.55,415398.7,0,0,76011.46,0,181341.62,115038.48,0,56821.42,76512.16,0,53759.094,0,0,70187.61,57820.324,53678.9,57717.535,77040.75,76500.016,207206.48,58866.273,0,65341.85,96120.28,84004.625,70528.31,939007.75,0,45782.52,67780.44,57375.223,59036.45,0,105918.88,0,690261.6,81899.234,34952.75,76115.44,425204.66,0,0,77805.8,0,121173.055
sp|P11279|LAMP1_HUMAN,P11279,LAMP1_HUMAN,LAMP1,417,Homo sapiens,1:Experimental evidence at protein level,Lysosome-associated membrane glycoprotein 1,1,0.999,7,361,361,361,5,7,8,13,2,10,13,14,10,12,15,7,8,10,7,5,8,10,5,3,12,6,5,13,10,6,9,5,9,8,11,13,16,9,7,9,7,10,14,10,5,7,8,13,2,10,13,14,10,12,15,7,8,10,7,5,8,10,5,3,12,6,5,13,10,6,9,5,9,8,11,13,16,9,7,9,7,10,14,10,5,7,8,13,2,10,13,14,10,12,15,7,8,10,7,5,8,10,5,3,12,6,5,13,10,6,9,5,9,8,11,13,16,9,7,9,7,10,14,10,2622909.8,841888.9,2058236.6,2925483.5,251149.45,1064571.8,2527418,1482657.1,1851952,1496725,1476904,1424346,2087394.8,1806671.1,4687933,328157.34,775107.94,887536.9,558470.4,345061.6,564443.75,1251874,1096688.8,1055146.5,1244903,1425062.9,1324488.4,1517951.2,657764.9,1497757.6,1501448.8,2376609.5,2188019.5,1108185.9,1020689.94,1363766,699098.56,1744330,1299274.2,1493914.8,1826849.9,533368,1318884.8,1981153.5,287287.9,688778.44,1505459.5,869446.56,1039480.3,987582.56,840632.25,991168.3,1135370.4,1057424.1,2259296.8,661716.06,547174.9,670825.25,535685.94,314853.94,967217.8,775325,751072.94,592135.8,789280.7,862451.94,827026.8,1076689.5,473012.25,678982.75,993464.06,1330911,1356722,725194.1,670506.1,963408.06,544570.3,1133489.1,750872.25,852530.75
sp|P11310|ACADM_HUMAN,P11310,ACADM_HUMAN,ACADM,421,Homo sapiens,1:Experimental evidence at protein level,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",1,0.999,4,7,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,53676.37,0,0,0,0,0,0,0,0,0,0,22783.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57159.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11362|FGFR1_HUMAN,P11362,FGFR1_HUMAN,FGFR1,822,Homo sapiens,1:Experimental evidence at protein level,Fibroblast growth factor receptor 1,1,0.999,11,107,107,128,0,0,0,3,0,5,3,8,2,5,6,1,0,1,0,6,0,3,11,0,4,3,0,3,7,1,1,0,3,3,1,5,3,6,8,0,0,2,3,0,0,0,0,3,0,5,3,8,2,5,6,1,0,1,0,6,0,3,11,0,4,3,0,3,7,1,1,0,3,3,1,5,3,6,8,0,0,2,3,0,2,0,0,4,0,6,3,8,2,5,9,1,0,1,3,6,0,4,12,0,4,3,1,3,8,1,2,0,3,3,2,5,4,8,9,0,0,3,3,0,0,0,0,171598.92,0,228993.39,286678.97,332064.75,96877.266,183637.28,136062.88,144790.4,0,0,0,268294.25,0,109900.04,363133.8,0,103470.805,73339.45,0,55320.273,191729.03,103683.07,133250.05,0,58960.414,208712.3,25232.354,124592.95,159192.97,266861.44,292878.44,0,0,74304.44,49838.73,0,0,0,0,131126.69,0,99458.97,111709.516,113744.44,93967.516,87476.695,68387.81,140441.56,0,0,0,124671.45,0,70186.76,108598.51,0,70220.57,71136.67,0,124446.61,97104.45,79108.94,100993.125,0,57189.51,97933.65,56761.848,84309.29,103876.32,116096.23,122045.72,0,0,72072.67,103965.875,0
sp|P11387|TOP1_HUMAN,P11387,TOP1_HUMAN,TOP1,765,Homo sapiens,1:Experimental evidence at protein level,DNA topoisomerase 1,0.7959,0.9987,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20286.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P11413|G6PD_HUMAN,P11413,G6PD_HUMAN,G6PD,515,Homo sapiens,1:Experimental evidence at protein level,Glucose-6-phosphate 1-dehydrogenase,1,0.999,31,109,109,109,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,5,0,0,1,71,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,5,0,0,1,71,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,5,0,0,1,71,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,517495.06,0,0,0,0,0,0,0,0,0,1359073.2,328306.8,0,0,26623.621,7505434,0,0,0,0,0,0,0,0,0,0,44737.973,0,0,0,0,0,0,0,0,336789.84,0,0,0,0,144407.58,0,0,0,0,0,0,0,0,0,283371.9,85429.62,0,0,42781.83,560610.1,0,0,0,0,0,0,0,0,0,0,52656.195,0,0,0,0,0,0,0,0,72804.1
sp|P11586|C1TC_HUMAN,P11586,C1TC_HUMAN,MTHFD1,935,Homo sapiens,1:Experimental evidence at protein level,"C-1-tetrahydrofolate synthase, cytoplasmic",1,0.999,16,90,90,90,1,0,1,8,0,0,0,0,3,10,6,2,2,4,1,1,0,1,4,0,7,0,0,1,0,3,1,0,0,0,0,3,8,2,1,0,0,1,1,18,1,0,1,8,0,0,0,0,3,10,6,2,2,4,1,1,0,1,4,0,7,0,0,1,0,3,1,0,0,0,0,3,8,2,1,0,0,1,1,18,1,0,1,8,0,0,0,0,3,10,6,2,2,4,1,1,0,1,4,0,7,0,0,1,0,3,1,0,0,0,0,3,8,2,1,0,0,1,1,18,0,0,33113.67,530603.6,0,71160.836,59141.15,103043.94,280394.16,317492.28,230466.47,99444.82,40647.625,289887.56,115140.62,46322.73,0,54044.2,75981.14,0,221752.16,0,0,46633.543,54484.367,187720.64,164922.1,0,0,34111.605,116876.19,170106.19,372085.28,226840.86,47691.055,0,0,79984.44,62446.145,908085.9,0,0,38429.008,91945.85,0,39527.582,48351.03,48989.926,71417.81,67443.38,73153.85,63393.04,43967.906,89184.94,94133.57,50106.58,0,58458.773,59902.594,0,57509.586,0,0,50442.78,30961.31,62960.633,65707.42,0,0,36897.992,46220.95,65893.305,70940.086,74747.8,55346.32,0,0,65391.527,67547.02,134725.28
sp|P11597|CETP_HUMAN,P11597,CETP_HUMAN,CETP,493,Homo sapiens,1:Experimental evidence at protein level,Cholesteryl ester transfer protein,1,0.999,14,332,332,332,2,8,5,1,0,6,0,6,0,8,29,2,33,4,1,10,3,10,5,14,5,6,5,48,8,5,13,0,15,17,3,0,14,4,15,12,1,1,13,0,2,8,5,1,0,6,0,6,0,8,29,2,33,4,1,10,3,10,5,14,5,6,5,48,8,5,13,0,15,17,3,0,14,4,15,12,1,1,13,0,2,8,5,1,0,6,0,6,0,8,29,2,33,4,1,10,3,10,5,14,5,6,5,48,8,5,13,0,15,17,3,0,14,4,15,12,1,1,13,0,177993,286653.72,338481.97,275005.38,0,244382.34,87921.12,494184.62,247356.4,345808.06,712201.4,135401.75,635066.8,277723.5,83149.27,585079.06,136078.02,354551.75,238625.75,902992.6,304945.97,273587.62,260631.9,2272083.2,219448.53,369742.38,755770,0,680360.56,1024794.44,242782.3,0,612288,312479.4,606343.8,938258.6,42719.547,63207.2,598215.94,0,127823.836,93016.336,105868.836,83394.086,0,67226.664,48236.22,121035.37,70072.2,78111.234,123641.96,92723.984,137140.69,76542.23,82335.67,130751.05,66326.98,77727.73,72059.44,173301.66,83559.52,80379.195,102686.83,292271.94,53459.605,84023.39,144331.17,0,129077.46,164111.06,68454.99,0,115217.34,76570.68,109705.49,202714.34,60520.22,80596.11,140230.22,0
sp|P11684|UTER_HUMAN,P11684,UTER_HUMAN,SCGB1A1,91,Homo sapiens,1:Experimental evidence at protein level,Uteroglobin,1,0.999,5,92,92,92,0,27,1,0,0,0,0,0,3,0,0,2,0,1,0,18,3,4,2,3,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,27,1,0,0,0,0,0,3,0,0,2,0,1,0,18,3,4,2,3,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,27,1,0,0,0,0,0,3,0,0,2,0,1,0,18,3,4,2,3,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,2030798.8,63743.33,0,0,0,0,0,77787.44,0,0,91146.984,0,48200.875,0,1550966.4,254906.84,57645.92,103492.84,185038.38,0,0,0,1441933.2,0,0,15108.584,0,0,0,0,0,0,62394.547,0,0,68109.71,57806.63,0,0,0,612594.4,65575.75,0,0,0,0,0,121647.37,0,0,93767.18,0,75378.62,0,276664.28,127816.59,59303.062,51360.5,67607.27,0,0,0,321735,0,0,23627.459,0,0,0,0,0,0,64188.195,0,0,70067.66,90400.51,0,0
sp|P11717|MPRI_HUMAN,P11717,MPRI_HUMAN,IGF2R,2491,Homo sapiens,1:Experimental evidence at protein level,Cation-independent mannose-6-phosphate receptor,1,0.999,42,416,416,416,10,5,6,7,2,7,1,12,12,28,11,1,5,6,6,5,2,5,7,4,20,4,9,18,28,21,8,7,5,4,38,18,17,10,2,5,11,10,19,20,10,5,6,7,2,7,1,12,12,28,11,1,5,6,6,5,2,5,7,4,20,4,9,18,28,21,8,7,5,4,38,18,17,10,2,5,11,10,19,20,10,5,6,7,2,7,1,12,12,28,11,1,5,6,6,5,2,5,7,4,20,4,9,18,28,21,8,7,5,4,38,18,17,10,2,5,11,10,19,20,570318.9,177363.81,195646.53,694922.8,31990.156,522183.66,259471.27,563161.3,1098585,977680.75,343056.72,83310.82,483641.5,789375.9,342199.12,3665485.5,116342.72,142468.12,284528.72,40605.066,629565.8,706778.3,349920.97,507465.12,982449.75,1361579.6,763276.7,401172.72,301247.88,330309.53,893960.3,839662.94,581690.4,454108.28,235225.97,293265.2,549890.4,625781.5,689935.2,1643693.1,128607.54,132825.64,89391.01,131274.69,78919.09,96048.81,92982.16,105721.195,129191.484,107171.984,86938.93,116697.29,120411.57,96604.55,105071.34,157116.03,87416.46,74488.58,88003.67,100171.914,85077.98,126390.3,119465.87,116276.41,99155.74,123036.41,107551.875,178378.02,74559.94,96562.6,116557.26,116410.805,108798.125,123671.86,104908.33,133210.56,117062.9,130207.57,116969.914,90977.7
